geolocation_city,geolocation_state,geolocation_street,geolocation_zip_code_prefix
São Paulo,SP,Praça da Sé,01001-000
São Paulo,SP,Rua Direita,01002-000
São Paulo,SP,Rua José Bonifácio,01003-000
São Paulo,SP,Rua Barão de Paranapiacaba,01004-000
São Paulo,SP,Rua Benjamim Constant,01005-000
São Paulo,SP,Rua Senador Feijó,01006-000
São Paulo,SP,Rua Riachuelo,01007-000
São Paulo,SP,Rua Líbero Badaró,01008-000
São Paulo,SP,Rua Líbero Badaró,01009-000
São Paulo,SP,Rua São Bento,01010-000
São Paulo,SP,Rua São Bento,01011-000
São Paulo,SP,Rua Álvares Penteado,01012-000
São Paulo,SP,Rua Quinze de Novembro,01013-000
São Paulo,SP,Rua Boa Vista,01014-000
São Paulo,SP,Rua General Carneiro,01015-000
São Paulo,SP,Rua Venceslau Brás,01016-000
São Paulo,SP,Avenida Rangel Pestana,01017-000
São Paulo,SP,Praça Clóvis Beviláqua,01018-000
São Paulo,SP,Rua Silveira Martins,01019-000
São Paulo,SP,Rua Tabatinguera,01020-000
São Paulo,SP,Rua Vinte e Cinco de Março,01021-000
São Paulo,SP,Ladeira Porto Geral,01022-000
São Paulo,SP,Rua Barão de Duprat,01023-000
São Paulo,SP,Rua da Cantareira,01024-000
São Paulo,SP,Rua Carlos de Sousa Nazaré,01025-000
São Paulo,SP,Avenida Senador Queirós,01026-000
São Paulo,SP,Rua Paula Sousa,01027-000
São Paulo,SP,Rua Mauá,01028-000
São Paulo,SP,Rua Florêncio de Abreu,01029-000
São Paulo,SP,Rua Florêncio de Abreu,01030-000
São Paulo,SP,Avenida Prestes Maia,01031-000
São Paulo,SP,Rua Brigadeiro Tobias,01032-000
São Paulo,SP,Avenida Cásper Líbero,01033-000
São Paulo,SP,Rua Antônio de Godói,01034-000
São Paulo,SP,Avenida São João,01035-000
São Paulo,SP,Avenida São João,01036-000
São Paulo,SP,Rua Conselheiro Crispiniano,01037-000
São Paulo,SP,Rua Dom José de Barros,01038-000
São Paulo,SP,Avenida Ipiranga,01039-000
São Paulo,SP,Avenida Ipiranga,01040-000
São Paulo,SP,Rua Vinte e Quatro de Maio,01041-000
São Paulo,SP,Rua Barão de Itapetininga,01042-000
São Paulo,SP,Rua Sete de Abril,01043-000
São Paulo,SP,Rua Sete de Abril,01044-000
São Paulo,SP,Praça da República,01045-000
São Paulo,SP,Avenida São Luís,01046-000
São Paulo,SP,Rua Marconi,01047-000
São Paulo,SP,Rua Coronel Xavier de Toledo,01048-000
São Paulo,SP,Rua Formosa,01049-000
São Paulo,SP,Rua Martins Fontes,01050-000
São Paulo,SP,Avenida Santos Dumont,01101-000
São Paulo,SP,Avenida Tiradentes,01102-000
São Paulo,SP,Rua Vinte e Cinco de Janeiro,01103-000
São Paulo,SP,Rua São Caetano,01104-000
São Paulo,SP,Rua João Teodoro,01105-000
São Paulo,SP,Rua Jorge Miranda,01106-000
São Paulo,SP,Avenida do Estado,01107-000
São Paulo,SP,Avenida do Estado,01108-000
São Paulo,SP,Avenida Cruzeiro do Sul,01109-000
São Paulo,SP,Rua José Paulino,01120-000
São Paulo,SP,Rua Prates,01121-000
São Paulo,SP,Rua Ribeiro de Lima,01122-000
São Paulo,SP,Rua Três Rios,01123-000
São Paulo,SP,Rua Afonso Pena,01124-000
São Paulo,SP,Rua da Graça,01125-000
São Paulo,SP,Rua Júlio Conceição,01126-000
São Paulo,SP,Rua Newton Prado,01127-000
São Paulo,SP,Rua Barra do Tibaji,01128-000
São Paulo,SP,Rua Jaraguá,01129-000
São Paulo,SP,Rua Anhaia,01130-000
São Paulo,SP,Rua dos Italianos,01131-000
São Paulo,SP,Rua Visconde de Taunay,01132-000
São Paulo,SP,Avenida Rudge,01133-000
São Paulo,SP,Avenida Rudge,01134-000
São Paulo,SP,Rua Anhangüera,01135-000
São Paulo,SP,Rua do Bosque,01136-000
São Paulo,SP,Rua Cruzeiro,01137-000
São Paulo,SP,Rua James Holland,01138-000
São Paulo,SP,Avenida Marquês de São Vicente,01139-000
São Paulo,SP,Avenida Thomás Edison,01140-000
São Paulo,SP,Rua Rubens Meireles,01141-000
São Paulo,SP,Avenida Presidente Castelo Branco,01142-000
São Paulo,SP,Rua Inocêncio Tobias,01144-000
São Paulo,SP,Avenida General Olímpio da Silveira,01150-000
São Paulo,SP,Rua Brigadeiro Galvão,01151-000
São Paulo,SP,Rua Barra Funda,01152-000
São Paulo,SP,Rua Vitorino Carmilo,01153-000
São Paulo,SP,Rua Conselheiro Brotero,01154-000
São Paulo,SP,Avenida Pacaembu,01155-000
São Paulo,SP,Rua Tagipuru,01156-000
,,,01189-000
,,,01200-000
São Paulo,SP,Rua Barão de Campinas,01201-000
São Paulo,SP,Alameda Barão de Limeira,01202-000
São Paulo,SP,Rua Conselheiro Nébias,01203-000
São Paulo,SP,Rua Guaianases,01204-000
São Paulo,SP,Avenida Rio Branco,01205-000
São Paulo,SP,Avenida Rio Branco,01206-000
São Paulo,SP,Rua Santa Ifigênia,01207-000
São Paulo,SP,Rua dos Andradas,01208-000
São Paulo,SP,Rua Aurora,01209-000
São Paulo,SP,Rua Vitória,01210-000
São Paulo,SP,Avenida São João,01211-000
,,,01212-000
São Paulo,SP,Rua General Osório,01213-000
São Paulo,SP,Avenida Duque de Caxias,01214-000
São Paulo,SP,Alameda Glete,01215-000
São Paulo,SP,Alameda Nothmann,01216-000
São Paulo,SP,Alameda Dino Bueno,01217-000
São Paulo,SP,Alameda Cleveland,01218-000
São Paulo,SP,Rua do Arouche,01219-000
São Paulo,SP,Rua Bento Freitas,01220-000
São Paulo,SP,Rua Amaral Gurgel,01221-000
São Paulo,SP,Rua Major Sertório,01222-000
São Paulo,SP,Rua Marquês de Itu,01223-000
São Paulo,SP,Rua Jaguaribe,01224-000
São Paulo,SP,Rua Frederico Abranches,01225-000
São Paulo,SP,Rua Martim Francisco,01226-000
São Paulo,SP,Avenida Angélica,01227-000
São Paulo,SP,Avenida Angélica,01228-000
São Paulo,SP,Rua Doutor Veiga Filho,01229-000
São Paulo,SP,Rua Doutor Albuquerque Lins,01230-000
São Paulo,SP,Rua Baronesa de Itu,01231-000
São Paulo,SP,Alameda Barros,01232-000
São Paulo,SP,Rua Tupi,01233-000
São Paulo,SP,Avenida Pacaembu,01234-000
São Paulo,SP,Rua Traipu,01235-000
